"Estado","year","gdp","gdp_mp","gdp_smp","gov","deflator","pop","gov_real","govpc","gdppc","gdppc_smp","gdppc_mp"
"Aguascalientes",2005,185650.542,0,185650.542,3290.445,54.395626272936,1103237,6049.09847620806,5483.04532589829,168278.023670345,168278.023670345,0
"Aguascalientes",2006,200318.265,0,200318.265,3982.599,56.668478533398,1121072,7027.89117172579,6268.9025965556,178684.567092925,178684.567092925,0
"Aguascalientes",2007,219091.899,0,219091.899,4059.739,59.215493859953,1119581,6855.87290650897,6123.60597983439,195690.976356333,195690.976356333,0
"Aguascalientes",2008,218472.947,0,218472.947,4935.054,61.354990556337,1144463,8043.44350027821,7028.13765082682,190895.596450038,190895.596450038,0
"Aguascalientes",2009,201960.396,0,201960.396,4266.427,66.168453640782,1169939,6447.82636626474,5511.25004488673,172624.723169328,172624.723169328,0
"Aguascalientes",2010,219912.906,0,219912.906,4820.431278,67.634997283879,1193378,7127.12570648534,5972.228167844,184277.660556839,184277.660556839,0
"Aguascalientes",2011,230510.398,0,230510.398,5260.119898,69.302330561244,1213835,7590.10534768598,6252.99595718198,189902.579839929,189902.579839929,0
"Aguascalientes",2012,242758.409,0,242758.409,5550.876782,73.010240811061,1234543,7602.87422741803,6158.45234019231,196638.277484057,196638.277484057,0
"Aguascalientes",2013,251657.007,0,251657.007,5921.017322,74.839643944426,1255624,7911.60541383227,6300.93516357784,200423.858575497,200423.858575497,0
"Aguascalientes",2014,277675.258,0,277675.258,6405.5335535,76.623712725604,1276766,8359.72745987754,6547.57994799168,217483.280413169,217483.280413169,0
"Aguascalientes",2015,294497.175,0,294497.175,7011.0811537,81.534360049464,1298071,8598.9282916388,6624.38979966334,226872.932990568,226872.932990568,0
"Aguascalientes",2016,307395.841,0,307395.841,7803.0874688,89.029459575545,1319766,8764.6128663499,6641.03550655942,232916.926940079,232916.926940079,0
"Aguascalientes",2017,314242.379,0,314242.379,8207.1743289,94.35760858977,1341843,8697.9465159843,6482.08957082483,234187.143354327,234187.143354327,0
"Aguascalientes",2018,327926.307,0,327926.307,9225.5088316,100,1377917,9225.5088316,6695.25728443731,237986.981073606,237986.981073606,0
"Aguascalientes",2019,329358.364,0,329358.364,9254.2926625,104.053407005629,1418786,8893.79111055861,6268.59238148573,232140.974044007,232140.974044007,0
"Aguascalientes",2020,307125.683,0,307125.683,9246.316791,113.411974080982,1436581,8152.85763776376,5675.18130739844,213789.325488782,213789.325488782,0
"Aguascalientes",2021,315233.12,0,315233.12,10333.09521,117.397965670612,1466855,8801.76683724824,6000.43415146571,214904.077090101,214904.077090101,0
"Aguascalientes",2022,314592.145,0,314592.145,11944.303348,121.834613194172,1473007,9803.7027695602,6655.57106623404,213571.384928924,213571.384928924,0
"Aguascalientes",2023,334210.747,0,334210.747,12118.406724,126.711688598093,1491953,9563.76389429821,6410.23135065127,224008.897733374,224008.897733374,0
"Baja California",2005,716802.171,0,716802.171,8158.057,54.604387491455,2937262,14940.2957798522,5086.47025013506,244037.532572852,244037.532572852,0
"Baja California",2006,772686.808,0,772686.808,9269.625,56.931261727973,3001827,16282.1351901382,5424.07513495556,257405.509378122,257405.509378122,0
"Baja California",2007,778767.048,0,778767.048,9551.548,59.60515679138,2972954,16024.7007376069,5390.16101076803,261950.587866479,261950.587866479,0
"Baja California",2008,756707.319,0,756707.319,11947.564,61.948726968769,3042173,19286.2139136826,6339.61773826888,248739.081899682,248739.081899682,0
"Baja California",2009,658790.712,0,658790.712,10707.475,67.354686536625,3112944,15897.1491823033,5106.78932300204,211629.477433581,211629.477433581,0
"Baja California",2010,686065.865,0,686065.865,12393.397521,67.828118077264,3184383,18271.7696912695,5737.93092453687,215447.03165417,215447.03165417,0
"Baja California",2011,698850.507,0,698850.507,12877.745261,69.221786083644,3255976,18603.6015387398,5713.67895179198,214636.258682496,214636.258682496,0
"Baja California",2012,726418.106,0,726418.106,13728.009202,72.766654855379,3329076,18865.7967434176,5666.97688590395,218204.122104752,218204.122104752,0
"Baja California",2013,733753.711,0,733753.711,14767.317968,73.382497141469,3403891,20123.7604922753,5911.98733810081,215563.221912805,215563.221912805,0
"Baja California",2014,760856.967,0,760856.967,16315.129598,77.590245552684,3479005,21027.2947092582,6044.05417907081,218699.589968971,218699.589968971,0
"Baja California",2015,795080.747,0,795080.747,17230.278484,84.649794569859,3555360,20354.7788527477,5725.09643263908,223628.759675532,223628.759675532,0
"Baja California",2016,828692.247,0,828692.247,19901.886451,91.347948860441,3633385,21786.900197842,5996.30928124654,228077.191654614,228077.191654614,0
"Baja California",2017,863600.649,0,863600.649,22883.871009,95.354572504496,3713198,23998.7138612792,6463.08488297128,232575.976018516,232575.976018516,0
"Baja California",2018,878816.868,0,878816.868,24633.384942,100,3748845,24633.384942,6570.92649656094,234423.367197097,234423.367197097,0
"Baja California",2019,893946.249,0,893946.249,24471.652098,104.662332108516,3766220,23381.527627941,6208.22140712464,237359.009563966,237359.009563966,0
"Baja California",2020,839693.34,0,839693.34,25972.46628,109.824596560454,3785407,23649.0431956226,6247.42417278316,221823.793319979,221823.793319979,0
"Baja California",2021,896313.559,0,896313.559,28279.89748,114.48291757907,3800768,24702.2857890287,6499.28798312043,235824.327872683,235824.327872683,0
"Baja California",2022,919233.204,0,919233.204,33746.680104,124.299599712893,3797115,27149.4680449076,7150.02522833984,242087.269940468,242087.269940468,0
"Baja California",2023,951065.688,0,951065.688,36122.000943,131.391829898504,3791901,27491.8166303819,7250.14092677575,250815.010202007,250815.010202007,0
"Baja California Sur",2005,117708.462,0,117708.462,1957.939,54.861866260728,553546,3568.85234398517,6447.25523079413,212644.408956076,212644.408956076,0
"Baja California Sur",2006,126685.37,0,126685.37,2319.171,56.836517113223,572287,4080.42420224311,7130.03126445841,221366.849150863,221366.849150863,0
"Baja California Sur",2007,137545.255,0,137545.255,2510.511,59.761111352042,575364,4200.9108318134,7301.3098348409,239057.80514596,239057.80514596,0
"Baja California Sur",2008,142084.054,0,142084.054,2953.064,63.373471170804,598475,4659.77947150932,7786.08876145088,237410.17419274,237410.17419274,0
"Baja California Sur",2009,134464.676,0,134464.676,2737.437,67.959225216889,622552,4028.05798810034,6470.23539897124,215989.469152778,215989.469152778,0
"Baja California Sur",2010,138668.832,0,138668.832,2982.089769,69.46615083626,642408,4292.86743701856,6682.46260479097,215857.884708783,215857.884708783,0
"Baja California Sur",2011,144956.375,0,144956.375,3300.256925,71.353726250398,655380,4625.20613628303,7057.2891090406,221179.125087735,221179.125087735,0
"Baja California Sur",2012,147269.702,0,147269.702,3354.663948,74.089533365118,668664,4527.8513652772,6771.48966487982,220244.699879162,220244.699879162,0
"Baja California Sur",2013,145215.69,0,145215.69,3570.431817,76.632352881428,682221,4659.17028872188,6829.41493844646,212857.255933195,212857.255933195,0
"Baja California Sur",2014,147613.684,0,147613.684,3901.4885878,80.863456398798,695790,4824.78583225388,6934.25578443766,212152.638008595,212152.638008595,0
"Baja California Sur",2015,156072.034,0,156072.034,4122.8498354,85.192324718469,709584,4839.46159354682,6820.13911467398,219948.637511556,219948.637511556,0
"Baja California Sur",2016,163094.648,0,163094.648,4440.5301396,90.941870146469,723656,4882.82254636745,6747.43600048566,225375.935527378,225375.935527378,0
"Baja California Sur",2017,170784.403,0,170784.403,5353.643275,96.132980012232,737939,5568.99752230587,7546.69088136807,231434.309610957,231434.309610957,0
"Baja California Sur",2018,184618.103,0,184618.103,6095.6528108,100,763493,6095.6528108,7983.90137276963,241807.197970381,241807.197970381,0
"Baja California Sur",2019,177860.75,0,177860.75,6675.360762,104.049557870413,787260,6415.55898806772,8149.22514552716,225923.773594492,225923.773594492,0
"Baja California Sur",2020,151931.29,0,151931.29,6330.405778,107.840492238301,812841,5870.15660500822,7221.77720490012,186913.910592601,186913.910592601,0
"Baja California Sur",2021,171064.575,0,171064.575,6740.18843,113.874012196856,833118,5918.98739665739,7104.62070998032,205330.547413452,205330.547413452,0
"Baja California Sur",2022,178120.33,0,178120.33,7913.141694,123.326417596464,836796,6416.42062440552,7667.84332669554,212859.920458511,212859.920458511,0
